Cluster,ClusterID,latitude,longitude,Census_CSD,Population_65_plus,Total_pop_est,pct_65_plus,Pop_source,Nearest_Hospital,Distance_km
Kentville,10310,45.08521706102987,-64.54638727035363,"Kings, Subd. B",2720.0,11911.0,22.8,DA_area_weighted,Valley Regional Hospital,3.58
Liverpool,10103,44.181090022247126,-64.96647013449157,Queens,3280.0,10422.0,31.5,CSD_exact,Queens General Hospital,26.23
Lunenburg / Mahone Bay,10104,44.4352970829593,-64.41699797886886,Lunenburg,3009.0,9396.0,32.0,DA_area_weighted,Fishermen's Memorial Hospital,9.27
Middleton,10311,44.901267041316174,-65.16717549660203,"Annapolis, Subd. B",1385.0,4587.0,30.2,CSD_exact,Soldiers Memorial Hospital,9.88
New Glasgow / Westville / Stellarton,20622,45.49218000668979,-62.53364696378373,"Pictou, Subd. C",2205.0,8386.0,26.3,CSD_exact,Aberdeen Hospital,12.39
New Waterford,30932,46.232179514471156,-60.1109183561765,Cape Breton,2450.0,8961.0,27.3,DA_area_weighted,New Waterford Consolidated Hospital,2.11
Pictou West,20623,45.68222149307519,-62.910509119311264,"Pictou, Subd. A",1815.0,6153.0,29.5,CSD_exact,Sutherland Harris Memorial Hospital,14.27
Port Hawkesbury / L'Ardoise / Isle Madame,30827,45.737239214378896,-61.01614728218728,"Richmond, Subd. A",1225.0,3763.0,32.6,CSD_exact,Strait - Richmond Hospital,20.89
Preston/Lawrencetown/Lake Echo,41040,44.703539800812486,-63.38667505862895,Halifax,1952.0,10678.0,18.3,DA_area_weighted,Dartmouth General Hospital,13.87
Sackville North and Area,41251,44.85242141284002,-63.814168877593524,East Hants,3203.0,23033.0,13.9,DA_area_weighted,Cobequid Community Health Centre,16.23
Sackville South,41250,44.77070476160124,-63.66980136241939,Halifax,4075.0,21466.0,19.0,DA_area_weighted,Cobequid Community Health Centre,1.77
Sambro Rural Loop,41142,44.536203434465946,-63.74544368785732,Halifax,2512.0,13148.0,19.1,DA_area_weighted,IWK Health Centre,17.11
Shelburne / Lockeport,10206,43.81630609496497,-65.36272166384734,Shelburne,1700.0,5980.0,28.4,CSD_exact,Roseway Hospital,8.52
Sherbrooke,30726,45.20463914670243,-62.09776640149681,St. Mary's,720.0,2161.0,33.3,CSD_exact,St. Mary’s Memorial Hospital,11.13
